tonic_pc,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11
mode,major,minor,major,minor,major,minor,major,minor,major,minor,major,minor,major,minor,major,minor,major,minor,major,minor,major,minor,major,minor
chord_id,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2147500032,39614383488587072455139393536,618974742009173007094775808,1048576,1073741888,19807191744293536227569696768,19807191744293536227569696768,524288,32,16,262144,4956595860419979633475190784,77446810319062181504614400,8,17180000256,2478297930209989816737595392,37778931862957161709568,65536,8589934596,1239148965104994908368797696,158457533954348289820557574144,316912659501790316113466228736,318150599541075696388365352960
1,16384,1,39614383488587072454065651712,618974742009173007094775808,309487371004586503547387904,309487371004586503547387904,32,524288,154743685502293251773693952,154743685502293251773693952,262144,16,4956595860419979616295321600,77446810319062181504614400,131072,8,4,37778931862957161709568,19361702579765545376153600,19361702579765545376153600,2,32768,9444732965739290427392,1237949484018346014189551616
2,72057594037927936,72057594037927936,0,0,0,0,2305843009213693952,0,0,0,1152921504606846976,0,0,0,576460752303423488,576460752303423488,0,0,0,0,144115188075855872,0,0,0
3,9223372036854775808,9223372036854775808,0,0,0,0,295147905179352825856,0,0,0,147573952589676412928,147573952589676412928,0,0,0,0,36893488147419103232,0,0,0,18446744073709551616,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,64,0,0,0,0,281474976710656,0,0,0,140737488355328,70368744177664,0,0,0,35184372088832,0,0,0,32768,2,0,0
6,128,2097152,0,0,0,0,0,0,67108864,4096,0,0,0,0,1024,16777216,0,0,8388608,512,0,0,0,0
7,274877906944,274877906944,137438953472,0,134217728,137438961664,68719476736,68719476736,0,0,2048,33554432,2199023255552,0,0,2199023255552,1099511627776,0,0,1099511627776,549755813888,549755813888,0,0
8,2097152,128,0,0,0,0,4096,67108864,0,0,33554432,2048,0,0,16777216,1024,512,0,0,0,256,4194304,0,0
9,0,0,8192,0,0,0,0,36028797018963968,0,0,0,18014398509481984,9007199254740992,0,0,0,4503599627370496,0,0,0,4194304,256,0,0
10,0,0,562949953421312,0,0,0,0,36028797018963968,0,0,0,18014398509481984,9007199254740992,0,0,0,4503599627370496,0,0,0,0,0,0,0
11,633825300114114700748351602688,633825300114114700748351602688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,39614383488587072454065651712,0,0,0,0,9913191720839959232590643200,0,0,0,0,4951760157141521099596496896,0,0,0,2478297930209989808147660800,158456325028528675187087900672,0,0,0,79228766977174144908131303424,0
13,0,0,0,39614383488587072454065651712,0,0,0,0,9913191720839959232590643200,0,0,0,0,4951760157141521099596496896,0,0,0,65536,158456325028528675187087900672,0,0,0,79228766977174144908131303424,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,1048576,281474976710656,0,0,0,140737488355328,0,0,0,0,70368744177664,0,0,0,35184372088832,17592186044416,0,0,0,8796093022208,8796093022208
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,0,0,0,0,0,0
21,0,0,0,562950087639040,36028797018963968,0,0,0,18014398509481984,0,0,0,0,9007199254740992,0,0,0,4503599627370496,2251799813685248,0,0,0,1125899906842624,1125899906842624
22,0,0,0,0,36028797018963968,0,0,0,18014398509481984,0,0,0,0,9007199254740992,0,0,0,4503599627370496,2251799813685248,0,0,0,1125899906842624,1125899906842624
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,79228766977174144908131303424,0,0,2147500032,39614383488587072455139393536,39614383488587072454065651712,0,0,19807191744293536227569696768,19807191744293536227569696768,9913191720839959232590643200,0,0,262144,4956595860419979633475190784,4951760157141521099596496896,0,17180000256,2478297930209989816737595392,2478297930209989808147660800,158456325028528675187087900672,0,1239148965104994908368797696,158457533954348289820557574144
25,79228766977174144908131303424,0,0,1,39614383488587072454065651712,39614383488587072454065651712,0,0,32,524288,9913191720839959232590643200,0,0,16,4956595860419979616295321600,4951760157141521099596496896,0,8,4,65536,158456325028528675187087900672,0,2,32768
26,0,0,0,72057594037927936,0,0,0,0,2305843009213693952,0,0,0,0,0,0,0,0,576460752303423488,0,0,0,0,144115188075855872,0
27,0,0,0,9223372036854775808,0,0,0,0,295147905179352825856,0,0,0,0,147573952589676412928,0,0,0,0,36893488147419103232,0,0,0,18446744073709551616,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8796093022208,8796093022208,0,0,64,1048576,281474976710656,0,0,281474976710656,140737488355328,0,0,140737488355328,70368744177664,70368744177664,0,0,35184372088832,35184372088832,17592186044416,0,32768,2
30,0,0,0,2097152,0,0,0,0,0,0,0,0,0,0,0,0,0,16777216,0,0,0,0,0,0
31,0,0,0,274877906944,137438953472,0,0,0,68719476736,68719476736,0,0,0,33554432,2199023255552,0,0,2199023255552,1099511627776,0,0,0,549755813888,549755813888
32,0,0,0,128,0,0,0,0,4096,67108864,0,0,0,2048,0,0,0,1024,512,8388608,0,0,256,4194304
33,1125899906842624,1125899906842624,0,0,8192,562950087639040,36028797018963968,0,0,36028797018963968,18014398509481984,0,0,18014398509481984,9007199254740992,9007199254740992,0,0,4503599627370496,4503599627370496,2251799813685248,0,4194304,256
34,1125899906842624,1125899906842624,0,0,562949953421312,0,36028797018963968,0,0,36028797018963968,18014398509481984,0,0,18014398509481984,9007199254740992,9007199254740992,0,0,4503599627370496,4503599627370496,2251799813685248,0,0,0
35,0,0,0,633825300114114700748351602688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,316912659501790316113466228736,318150599541075696388365352960,1,0,0,618974742009173007094775808,1048576,1073741888,0,0,524288,32,16,0,0,77446810319062181504614400,8,0,0,37778931862957161709568,65536,8589934596,0,0
37,9444732965739290427392,1237949484018346014189551616,16384,0,0,618974742009173007094775808,309487371004586503547387904,309487371004586503547387904,0,0,154743685502293251773693952,154743685502293251773693952,262144,0,0,77446810319062181504614400,131072,0,0,37778931862957161709568,19361702579765545376153600,19361702579765545376153600,0,0
38,0,0,72057594037927936,0,0,0,0,0,0,0,0,0,1152921504606846976,0,0,0,576460752303423488,0,0,0,0,0,0,0
39,0,0,9223372036854775808,0,0,0,0,0,0,0,0,0,147573952589676412928,0,0,0,0,0,0,0,0,0,0,0
