id,root,root_pc,quality,is_seventh,symbol,pitch_names,pitch_classes,pcs_tuple
132,F#,6,maj,False,F#,"['F#', 'A#', 'C#']","[6, 10, 1]","(1, 6, 10)"
133,F#,6,min,False,F#m,"['F#', 'A', 'C#']","[6, 9, 1]","(1, 6, 9)"
134,F#,6,sus2,False,F#sus2,"['F#', 'G#', 'C#']","[6, 8, 1]","(1, 6, 8)"
135,F#,6,sus4,False,F#sus4,"['F#', 'B', 'C#']","[6, 11, 1]","(1, 6, 11)"
136,F#,6,aug,False,F#aug,"['F#', 'A#', 'C##']","[6, 10, 2]","(2, 6, 10)"
137,F#,6,dim,False,F#dim,"['F#', 'A', 'C']","[6, 9, 0]","(0, 6, 9)"
138,F#,6,maj7,True,F#maj7,"['F#', 'A#', 'C#', 'E#']","[6, 10, 1, 5]","(1, 5, 6, 10)"
139,F#,6,7,True,F#7,"['F#', 'A#', 'C#', 'E']","[6, 10, 1, 4]","(1, 4, 6, 10)"
140,F#,6,min7,True,F#m7,"['F#', 'A', 'C#', 'E']","[6, 9, 1, 4]","(1, 4, 6, 9)"
141,F#,6,halfdim7,True,F#m7b5,"['F#', 'A', 'C', 'E']","[6, 9, 0, 4]","(0, 4, 6, 9)"
142,F#,6,dim7,True,F#dim7,"['F#', 'A', 'C', 'Eb']","[6, 9, 0, 3]","(0, 3, 6, 9)"
143,F#,6,it6,False,F#It6,"['D', 'F#', 'B#']","[2, 6, 0]","(0, 2, 6)"
144,Gb,6,maj,False,Gb,"['Gb', 'Bb', 'Db']","[6, 10, 1]","(1, 6, 10)"
145,Gb,6,min,False,Gbm,"['Gb', 'Bbb', 'Db']","[6, 9, 1]","(1, 6, 9)"
146,Gb,6,sus2,False,Gbsus2,"['Gb', 'Ab', 'Db']","[6, 8, 1]","(1, 6, 8)"
147,Gb,6,sus4,False,Gbsus4,"['Gb', 'Cb', 'Db']","[6, 11, 1]","(1, 6, 11)"
148,Gb,6,aug,False,Gbaug,"['Gb', 'Bb', 'D']","[6, 10, 2]","(2, 6, 10)"
149,Gb,6,dim,False,Gbdim,"['Gb', 'Bbb', 'Dbb']","[6, 9, 0]","(0, 6, 9)"
150,Gb,6,maj7,True,Gbmaj7,"['Gb', 'Bb', 'Db', 'F']","[6, 10, 1, 5]","(1, 5, 6, 10)"
151,Gb,6,7,True,Gb7,"['Gb', 'Bb', 'Db', 'Fb']","[6, 10, 1, 4]","(1, 4, 6, 10)"
152,Gb,6,min7,True,Gbm7,"['Gb', 'Bbb', 'Db', 'Fb']","[6, 9, 1, 4]","(1, 4, 6, 9)"
153,Gb,6,halfdim7,True,Gbm7b5,"['Gb', 'Bbb', 'Dbb', 'Fb']","[6, 9, 0, 4]","(0, 4, 6, 9)"
154,Gb,6,dim7,True,Gbdim7,"['Gb', 'Bbb', 'Dbb', 'Fbb']","[6, 9, 0, 3]","(0, 3, 6, 9)"
155,Gb,6,it6,False,GbIt6,"['Ebb', 'Gb', 'C']","[2, 6, 0]","(0, 2, 6)"
156,G,7,maj,False,G,"['G', 'B', 'D']","[7, 11, 2]","(2, 7, 11)"
157,G,7,min,False,Gm,"['G', 'Bb', 'D']","[7, 10, 2]","(2, 7, 10)"
158,G,7,sus2,False,Gsus2,"['G', 'A', 'D']","[7, 9, 2]","(2, 7, 9)"
159,G,7,sus4,False,Gsus4,"['G', 'C', 'D']","[7, 0, 2]","(0, 2, 7)"
160,G,7,aug,False,Gaug,"['G', 'B', 'D#']","[7, 11, 3]","(3, 7, 11)"
161,G,7,dim,False,Gdim,"['G', 'Bb', 'Db']","[7, 10, 1]","(1, 7, 10)"
162,G,7,maj7,True,Gmaj7,"['G', 'B', 'D', 'F#']","[7, 11, 2, 6]","(2, 6, 7, 11)"
163,G,7,7,True,G7,"['G', 'B', 'D', 'F']","[7, 11, 2, 5]","(2, 5, 7, 11)"
164,G,7,min7,True,Gm7,"['G', 'Bb', 'D', 'F']","[7, 10, 2, 5]","(2, 5, 7, 10)"
165,G,7,halfdim7,True,Gm7b5,"['G', 'Bb', 'Db', 'F']","[7, 10, 1, 5]","(1, 5, 7, 10)"
166,G,7,dim7,True,Gdim7,"['G', 'Bb', 'Db', 'Fb']","[7, 10, 1, 4]","(1, 4, 7, 10)"
167,G,7,it6,False,GIt6,"['Eb', 'G', 'C#']","[3, 7, 1]","(1, 3, 7)"
168,G#,8,maj,False,G#,"['G#', 'B#', 'D#']","[8, 0, 3]","(0, 3, 8)"
169,G#,8,min,False,G#m,"['G#', 'B', 'D#']","[8, 11, 3]","(3, 8, 11)"
170,G#,8,sus2,False,G#sus2,"['G#', 'A#', 'D#']","[8, 10, 3]","(3, 8, 10)"
171,G#,8,sus4,False,G#sus4,"['G#', 'C#', 'D#']","[8, 1, 3]","(1, 3, 8)"
172,G#,8,aug,False,G#aug,"['G#', 'B#', 'D##']","[8, 0, 4]","(0, 4, 8)"
173,G#,8,dim,False,G#dim,"['G#', 'B', 'D']","[8, 11, 2]","(2, 8, 11)"
